"ID","Gender","Status","Children","EstIncome","Car Owner","Age","LongDistance","International","Local","Dropped","Paymethod","LocalBilltype","LongDistanceBilltype","Usage","RatePlan","CHURN"
"1","F","S","1.000000","38000.000000","N","24.393333","23.560000","0.000000","206.080000","0.000000","CC","Budget","Intnl_discount","229.640000","3.000000","T"
"1003","F","M","0.000000","55221.000000","N","43.000000","0.490000","0.000000","15.200000","0.000000","CC","FreeLocal","Standard","15.690000","1.000000","F"
"1004","F","M","1.000000","8073.110000","N","46.000000","28.700000","0.000000","60.350000","0.000000","Auto","FreeLocal","Standard","89.050000","4.000000","F"
"1018","F","S","0.000000","95786.800000","Y","52.646667","21.330000","0.000000","87.460000","0.000000","CC","Budget","Standard","108.790000","1.000000","F"
"1020","M","S","0.000000","90321.600000","N","55.113333","0.870000","0.000000","11.520000","0.000000","CC","FreeLocal","Intnl_discount","12.390000","3.000000","T"
"1030","M","M","2.000000","29616.000000","N","49.426667","29.780000","0.000000","45.500000","0.000000","CH","FreeLocal","Standard","75.290000","4.000000","F"
"1053","M","M","1.000000","7545.960000","Y","16.753333","22.390000","0.000000","178.360000","0.000000","CC","Budget","Standard","200.750000","2.000000","T"
"1059","F","S","0.000000","78851.300000","N","48.373333","0.370000","0.000000","28.660000","0.000000","CC","FreeLocal","Standard","29.040000","3.000000","F"
"1064","F","S","0.000000","28589.100000","N","15.600000","13.190000","0.000000","87.090000","0.000000","CC","FreeLocal","Standard","100.280000","1.000000","T"
"1072","F","S","1.000000","13576.500000","N","39.426667","14.830000","0.000000","25.660000","0.000000","CC","Budget","Standard","40.490000","4.000000","T"
"1079","F","S","0.000000","45612.900000","N","14.300000","12.530000","0.000000","311.290000","0.000000","CC","Budget","Standard","323.820000","4.000000","F"
"1085","M","S","2.000000","120000.000000","N","42.000000","21.370000","0.000000","293.240000","0.000000","CH","Budget","Standard","314.620000","2.000000","T"
"1086","F","M","2.000000","45287.600000","Y","29.026667","0.000000","0.000000","2.970000","0.000000","CC","Budget","Standard","2.970000","2.000000","F"
